country,continent,year,lifeExp,pop,gdpPercap,childMort,co2Emit,healthExp
Canada,Americas,2007,80.653,33390141,36319.23501,5.9,560750.6667,3849.57780896
Central African Republic,Africa,1997,46.066,3696513,740.5063317,176.9,245.6666667,23.32148822
Central African Republic,Africa,2002,43.308,4048013,738.6906068,172,245.6666667,26.65539175
Central African Republic,Africa,2007,44.741,4369038,706.016537,161.7,234.6666667,30.44249817
Chad,Africa,1997,51.573,7562011,1004.961353,198.3,113.6666667,36.77845222
Chad,Africa,2002,50.525,8835739,1156.18186,184.6,168.6666667,62.44572376
Chad,Africa,2007,50.651,10238807,1704.063724,171.5,462,58.05029135
Chile,Americas,1997,75.816,14599929,10118.05318,12.2,56166,641.65284142
Chile,Americas,2002,77.86,15497046,10778.78385,9.8,55355.66667,834.55812933
Chile,Americas,2007,78.553,16284741,13171.63885,8.9,67338.33333,958.87992527
China,Asia,1997,70.426,1230075000,2289.234136,43.6,3469194.667,73.45688056
China,Asia,2002,72.028,1280400000,3119.280896,31.6,3693906.333,136.39945823
China,Asia,2007,72.961,1318683096,4959.114854,20.1,6791187.333,240.44719771
Colombia,Americas,1997,70.313,37657830,6117.361746,27.9,64900,559.05161771
Colombia,Americas,2002,71.682,41008227,5755.259962,23.6,55656.33333,449.04223692
Colombia,Americas,2007,72.889,44227550,7006.580419,20.3,63433.33333,618.5232144
Comoros,Africa,1997,60.66,527982,1173.618235,104,66,35.32517859
Comoros,Africa,2002,62.974,614382,1075.811558,100.8,91.66666667,28.25254972
Comoros,Africa,2007,65.152,710960,986.1478792,93.5,121,46.0698304
"Congo, Dem. Rep.",Africa,1997,42.587,47798986,312.188423,171.5,2926,11.08876317
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,241.1658765,152.4,1543.666667,9.87603707
"Congo, Dem. Rep.",Africa,2007,46.462,64606759,277.5518587,128.9,2574,19.12568443
"Congo, Rep.",Africa,1997,52.962,2800947,3484.164376,116,2343,76.4330443
"Congo, Rep.",Africa,2002,52.97,3328795,3484.06197,115.6,707.6666667,72.44692175
"Congo, Rep.",Africa,2007,55.322,3800610,3632.557798,79.9,1609.666667,95.71918831
Costa Rica,Americas,1997,77.26,3518107,6677.045314,14.8,4986.666667,379.66793439
Costa Rica,Americas,2002,78.123,3834934,7723.447195,11.6,6325,573.84881374
Costa Rica,Americas,2007,78.782,4133884,9645.06142,10.3,8572.666667,969.38552811
Cote d'Ivoire,Africa,1997,47.991,14625967,1786.265407,147.3,8173,98.24177685
Cote d'Ivoire,Africa,2002,46.832,16252726,1648.800823,137.2,7285.666667,54.87882337
Cote d'Ivoire,Africa,2007,48.328,18013409,1544.750112,121.3,6383.666667,101.1188445
Croatia,Europe,1997,73.68,4444595,9875.604515,9.3,19294,563.33401843
Croatia,Europe,2002,74.876,4481020,11628.38895,7.7,21875.33333,788.56464584
Croatia,Europe,2007,75.748,4493312,14619.22272,6.2,24398,1409.4579087
Cuba,Americas,1997,76.151,10983007,5431.990415,10,24603.33333,129.15776996
Cuba,Americas,2002,77.158,11226999,6340.646683,7.7,26088.33333,171.57092399
Cuba,Americas,2007,78.273,11416987,8948.102923,6.4,26726.33333,398.76206549
Czech Republic,Europe,1997,74.01,10300707,16048.51424,8.4,129202.3333,921.15695705
Czech Republic,Europe,2002,75.51,10256295,17596.21022,6,120182.3333,1194.85166229
Czech Republic,Europe,2007,76.486,10228744,22833.30851,4.7,123933.3333,1660.7430473
Denmark,Europe,1997,76.11,5283663,29804.34567,6,57049.66667,2058.61191207
Denmark,Europe,2002,77.18,5374693,32166.50006,5.4,49261.66667,2870.45390246
Denmark,Europe,2007,78.332,5468120,35278.41874,4.5,49866.66667,3747.49200842
Djibouti,Africa,1997,53.157,417908,1895.016984,106.8,440,71.37291547
Djibouti,Africa,2002,53.373,447416,1908.260867,96,399.6666667,89.01301185
Djibouti,Africa,2007,54.791,496374,2082.481567,83.5,487.6666667,160.12524603
Dominican Republic,Americas,1997,69.957,7992357,3614.101285,45.6,18238,239.73765402
Dominican Republic,Americas,2002,70.847,8650322,4563.808154,39.1,21497.66667,352.91393894
Dominican Republic,Americas,2007,72.235,9319622,6025.374752,35.5,21501.33333,424.93502507
Ecuador,Americas,1997,72.312,11911819,7429.455877,39.6,18274.66667,216.79708655
Ecuador,Americas,2002,74.173,12921234,5773.044512,31.9,24687.66667,295.11365101
Ecuador,Americas,2007,74.994,13755680,6873.262326,27.5,30895.33333,507.2355441
Egypt,Africa,1997,67.217,66134291,4173.181797,56.5,108192.3333,149.23487559
Egypt,Africa,2002,69.806,73312559,4754.604414,41.4,127182,235.38128986
Egypt,Africa,2007,71.338,80264543,5581.180998,32.7,199202.6667,259.27361765
El Salvador,Americas,1997,69.535,5783439,5154.825496,39.1,5760.333333,330.56546134
El Salvador,Americas,2002,70.734,6353681,5351.568666,29,6039,378.61411646
El Salvador,Americas,2007,71.878,6939688,5728.353514,22.6,6926.333333,405.40913618
Equatorial Guinea,Africa,1997,48.245,439971,2814.480755,163.9,293.3333333,171.76125429
Equatorial Guinea,Africa,2002,49.348,495627,7703.4959,143.8,4979.333333,545.53497036
Equatorial Guinea,Africa,2007,51.579,551201,12154.08975,122.7,4796,582.38976252
Eritrea,Africa,1997,53.378,4058319,913.47079,104.8,528,28.25887522
Eritrea,Africa,2002,55.24,4414865,765.3500015,80.4,605,26.8690954
Eritrea,Africa,2007,58.04,4906585,641.3695236,63.2,579.3333333,19.58627948
Ethiopia,Africa,1997,49.402,59861301,515.8894013,162,4275.333333,13.84281555
Ethiopia,Africa,2002,50.725,67946797,530.0535319,132.2,4480.666667,23.9083838
Ethiopia,Africa,2007,52.947,76511887,690.8055759,93.8,6471.666667,38.15275101
Finland,Europe,1997,77.13,5134406,23723.9502,4.7,59986.66667,1615.93118362
Finland,Europe,2002,78.37,5193039,28204.59057,4.1,61072,2149.63318161
Finland,Europe,2007,79.313,5238460,33207.0844,3.5,63910,2910.11810641
France,Europe,1997,78.64,58623428,25889.78487,5.8,379452.3333,2224.32490527
France,Europe,2002,79.59,59925035,28926.03234,5.1,380413,2922.64020365
France,Europe,2007,80.657,61083916,30470.0167,4.4,375650,3670.6441153
Gabon,Africa,1997,60.461,1126189,14722.84188,86.2,3545.666667,328.10506802
Gabon,Africa,2002,56.761,1299304,12521.71392,80.8,1778.333333,380.85580925
Gabon,Africa,2007,56.735,1454867,13206.48452,70.7,2332,408.98501626
Gambia,Africa,1997,55.861,1235767,653.7301704,132.5,216.3333333,47.37528336
Gambia,Africa,2002,58.041,1457766,660.5855997,110.2,315.3333333,60.34613579
Gambia,Africa,2007,59.448,1688359,752.7497265,90.6,396,65.29618723
Germany,Europe,1997,77.34,82011073,27788.88416,5.9,863896,2417.39460705
Germany,Europe,2002,78.67,82350671,30035.80198,5.1,830833.6667,2944.79433626
Germany,Europe,2007,79.406,82400996,32170.37442,4.5,787163.6667,3724.18753548
Ghana,Africa,1997,58.556,18418288,1005.245812,109.5,6394.666667,45.25950116
Ghana,Africa,2002,58.453,20550751,1111.984578,94.2,7414,48.37029034
Ghana,Africa,2007,60.022,22873338,1327.60891,82.2,9577.333333,83.32704213
Greece,Europe,1997,77.869,10502372,18747.69814,9.3,84564.33333,1353.53327026
Greece,Europe,2002,78.256,10603863,22514.2548,6.8,93661.33333,1965.10819629
Greece,Europe,2007,79.483,10706290,27538.41188,5,98237.33333,2723.73991192
Guatemala,Americas,1997,66.322,9803875,4684.313807,57.7,7597.333333,119.60999166
Guatemala,Americas,2002,68.978,11178650,4858.347495,46.6,11095.33333,216.52128844
Guatemala,Americas,2007,70.259,12572928,5186.050003,38.4,13632.66667,331.77494553
Guinea,Africa,1997,51.455,8048834,869.4497668,192,1279.666667,38.84636929
Guinea,Africa,2002,53.676,8807818,945.5835837,155.8,1323.666667,51.06979306
Guinea,Africa,2007,56.007,9947814,942.6542111,125.9,1210,55.85603021
Guinea-Bissau,Africa,1997,44.873,1193708,796.6644681,194.6,308,85.9217435
Guinea-Bissau,Africa,2002,45.504,1332459,575.7047176,165.3,209,65.72078142
Guinea-Bissau,Africa,2007,46.388,1472041,579.231743,133.6,286,62.02096795
Haiti,Americas,1997,56.671,6913545,1341.726931,116.5,1422.666667,59.30422375
Haiti,Americas,2002,58.137,7607651,1270.364932,98.1,1826,52.50198608
Haiti,Americas,2007,60.916,8502814,1201.637154,85.5,2398,62.13636101
Honduras,Americas,1997,67.659,5867957,3160.454906,42.6,4158,118.70931973
Honduras,Americas,2002,68.565,6677328,3099.72866,34.2,6090.333333,165.26930336
Honduras,Americas,2007,70.198,7483763,3548.330846,27.6,8631.333333,223.90068534
"Hong Kong, China",Asia,1997,80,6495918,28377.63219,5.25,30851.33333,NA
"Hong Kong, China",Asia,2002,81.495,6762476,30209.01516,3.99,36949,NA
"Hong Kong, China",Asia,2007,82.208,6980412,39724.97867,3.19,39959.33333,NA
Hungary,Europe,1997,71.04,10244684,11712.7768,12.7,61801.66667,678.36604926
Hungary,Europe,2002,72.59,10083313,14843.93556,9.9,56056,1113.72947636
Hungary,Europe,2007,73.338,9956108,18008.94444,7.5,55854.33333,1431.72488947
Iceland,Europe,1997,78.95,271192,28061.09966,4.7,2104.666667,2522.72889163
Iceland,Europe,2002,80.5,288030,31163.20196,3.6,2170.666667,3239.78653776
Iceland,Europe,2007,81.757,301931,36180.78919,2.8,2339.333333,3499.70238806
India,Asia,1997,61.765,959000000,1458.817442,101.9,1043845,55.75348437
India,Asia,2002,62.879,1034172547,1746.769454,84.3,1226679.667,75.38787464
India,Asia,2007,64.698,1110396331,2452.210407,68.5,1611258,107.56034984
Indonesia,Asia,1997,66.041,199278000,3119.335603,60.5,278633.6667,48.41644501
Indonesia,Asia,2002,68.588,211060000,2873.91287,47.6,306709.3333,57.02067698
Indonesia,Asia,2007,70.65,223547000,3540.651564,37.9,375510.6667,98.3838595
Iran,Asia,1997,68.042,63327987,8263.590301,41.1,269954.6667,247.53739075
Iran,Asia,2002,69.451,66907826,9240.761975,30.8,402141.6667,382.08491117
Iran,Asia,2007,70.964,69453570,11605.71449,22.8,539315.3333,600.38260343
Iraq,Asia,1997,58.811,20775703,3076.239795,47.4,68302.66667,30.5593578
Iraq,Asia,2002,57.046,24001816,4390.717312,43,87252,28.78216843
Iraq,Asia,2007,59.545,27499638,4471.061906,39.1,109838.6667,135.7494273
Ireland,Europe,1997,76.122,3667233,24521.94713,7.3,36424.66667,1376.04605806
Ireland,Europe,2002,77.783,3879155,34077.04939,6.5,43615,2334.92050706
Ireland,Europe,2007,78.885,4109086,40675.99635,4.6,44579.33333,3472.85241069
Israel,Asia,1997,78.269,5531387,20896.60924,7.8,63396.66667,1570.20871595
Israel,Asia,2002,79.696,6029529,21905.59514,6.4,63140,1830.25491819
Israel,Asia,2007,80.745,6426679,25523.2771,5.1,67422.66667,1974.000617
Italy,Europe,1997,78.82,57479469,24675.02446,6.6,433561.3333,1728.46342185
Italy,Europe,2002,80.24,57926999,27968.09817,5,449243.6667,2234.85459403
Italy,Europe,2007,80.546,58147733,28569.7197,4.2,461087,2769.54524516
Jamaica,Americas,1997,72.262,2531311,7121.924704,24.3,10629.66667,341.01254729
Jamaica,Americas,2002,72.047,2664659,6994.774861,20.9,10299.66667,296.16659667
Jamaica,Americas,2007,72.567,2780132,7320.880262,19.2,13478.66667,369.36719333
Japan,Asia,1997,80.69,125956499,28816.58499,5.2,1201522.667,1695.74955056
Japan,Asia,2002,82,127065841,28604.5919,4.1,1216640.333,2139.77444596
Japan,Asia,2007,82.603,127467972,31656.06806,3.5,1251055.667,2749.58706404
Jordan,Asia,1997,69.772,4526235,3645.379572,29.9,14417.33333,262.91223087
Jordan,Asia,2002,71.263,5307470,3844.917194,26.2,16885,343.43419396
Jordan,Asia,2007,72.535,6053193,4519.461171,22.7,21494,414.07050594
Kenya,Africa,1997,54.407,28263827,1360.485021,107.1,8264.666667,45.25620373
Kenya,Africa,2002,50.992,31386842,1287.514732,96.4,7967.666667,53.13666666
Kenya,Africa,2007,54.11,35610177,1463.249282,76.4,9830.333333,68.56038596
Kuwait,Asia,1997,76.156,1765345,40300.619960000004,13.8,54915.66667,1083.47612552
Kuwait,Asia,2002,76.904,2111561,35110.10566,12.3,52748.66667,1003.7778693
Kuwait,Asia,2007,77.588,2505559,47306.98978,11.5,75229,917.07385525
Lebanon,Asia,1997,70.265,3430388,8754.96385,23.5,15645.66667,828.65560192
Lebanon,Asia,2002,71.028,3677780,9313.93883,17.6,16038,711.7494331
Lebanon,Asia,2007,71.993,3921278,10461.05868,12.1,15444,908.97280664
Lesotho,Africa,1997,55.558,1982823,1186.147994,96.4,NA,61.9123838
Lesotho,Africa,2002,44.593,2046772,1275.184575,111.2,NA,73.52896222
Lesotho,Africa,2007,42.592,2012649,1569.331442,115.6,NA,116.06706558
Liberia,Africa,1997,42.221,2200725,609.17395079999994,217.1,355.6666667,NA
Liberia,Africa,2002,43.753,2814651,531.4823679,157.6,502.3333333,21.2713586
Liberia,Africa,2007,45.678,3193942,414.5073415,107.8,678.3333333,45.58909347
Libya,Africa,1997,71.555,4759670,9467.446056,30.8,44971.66667,221.12528752
Libya,Africa,2002,72.737,5368585,9534.677467,26.5,47828,527.48853427
Libya,Africa,2007,73.952,6036914,12057.49928,20.2,54197,473.67232993
Madagascar,Africa,1997,54.978,14165114,986.2958956,127.7,1701.333333,24.78078628
Madagascar,Africa,2002,57.286,16473477,894.6370822,97.2,1235.666667,27.89429905
Madagascar,Africa,2007,59.443,19167654,1044.770126,70.8,1815,40.15881629
Malawi,Africa,1997,47.495,10419991,692.2758103,194.6,759,29.05659292
Malawi,Africa,2002,45.009,11824495,665.4231186,147.5,883.6666667,27.18339772
Malawi,Africa,2007,48.303,13327079,759.3499101,105.8,953.3333333,57.16615469
Malaysia,Asia,1997,71.938,20476091,10132.90964,12.4,124809.6667,231.38362361
Malaysia,Asia,2002,73.044,22662365,10206.97794,8.9,135116.6667,345.43881682
Malaysia,Asia,2007,74.241,24821286,12451.6558,8,195462.6667,506.20322097
Mali,Africa,1997,49.903,9384984,790.2579846,235.3,524.3333333,45.58290675
Mali,Africa,2002,51.818,10580176,951.4097518,201.8,553.6666667,46.29222082
Mali,Africa,2007,54.467,12031795,1042.581557,155.1,579.3333333,56.36871217
Mauritania,Africa,1997,60.43,2444741,1483.136136,113.9,2999.333333,45.66191586
Mauritania,Africa,2002,62.247,2828858,1579.019543,112.9,1433.666667,73.93564448
Mauritania,Africa,2007,64.164,3270065,1803.151496,105.5,1914,84.57150212
Mauritius,Africa,1997,70.736,1149818,7425.705295,22.6,1998.333333,234.08738081
Mauritius,Africa,2002,71.954,1200206,9021.815894,16.1,2981,363.70765652
Mauritius,Africa,2007,72.801,1250882,10956.99112,16,3886.666667,600.25090971
Mexico,Americas,1997,73.67,95895146,9767.29753,31,358350.6667,406.79177759
Mexico,Americas,2002,74.902,102479927,10742.44053,22.6,391215,583.83946416
Mexico,Americas,2007,76.195,108700891,11977.57496,18.4,456756.6667,841.59665923
Mongolia,Asia,1997,63.625,2494803,1902.2521,75.9,7711,66.23435263
Mongolia,Asia,2002,65.033,2674234,2140.739323,54.3,8286.666667,103.55851362
Mongolia,Asia,2007,66.803,2874127,3095.772271,37.4,10560,161.10136404
Montenegro,Europe,1997,75.445,692651,6465.613349,14.9,NA,429.14075165
Montenegro,Europe,2002,73.981,720230,6557.194282,12.6,NA,582.35300875
Montenegro,Europe,2007,74.543,684736,9253.896111,8.9,3714.333333,960.18414082
Morocco,Africa,1997,67.66,28529501,2982.101858,57.5,31859.66667,96.05863409
Morocco,Africa,2002,69.615,31167783,3258.495584,45.8,38250.66667,156.51733781
Morocco,Africa,2007,71.164,33757175,3820.17523,37.3,49368,212.2614555
Mozambique,Africa,1997,46.344,16603334,472.3460771,194.6,1125.666667,17.3344905
Mozambique,Africa,2002,44.026,18473780,633.6179466,152.7,1587.666667,32.13854659
Mozambique,Africa,2007,42.082,19951656,823.6856205,120.9,2460.333333,37.92593766
Myanmar,Asia,1997,60.328,43247867,415,90,7498.333333,9.33524588
Myanmar,Asia,2002,59.908,45598081,611,77.5,8173,20.26740212
Myanmar,Asia,2007,62.069,47761980,944,65.8,13046,34.65570821
Namibia,Africa,1997,58.909,1774766,3899.52426,67.3,1903,255.85549052
Namibia,Africa,2002,51.479,1972153,4072.324751,72.4,2214.666667,259.74063425
Namibia,Africa,2007,52.906,2055080,4811.060429,65.2,3171.666667,417.44312944
Nepal,Asia,1997,59.426,23001113,1010.892138,96.3,2783,36.38811954
Nepal,Asia,2002,61.34,25873917,1057.206311,71.5,2709.666667,45.94844982
Nepal,Asia,2007,63.785,28901790,1091.359778,53.6,2698.666667,56.00106253
Netherlands,Europe,1997,78.03,15604464,30246.13063,6.5,178262.3333,1915.06111
Netherlands,Europe,2002,78.53,16122830,33724.75778,5.9,172348,2833.33759038
Netherlands,Europe,2007,79.762,16570613,36797.93332,5,171750.3333,3944.60760774
New Zealand,Oceania,1997,77.55,3676187,21050.41377,8.1,31104.33333,1348.53715153
New Zealand,Oceania,2002,79.11,3908037,23189.80135,7,33414.33333,1831.33161774
New Zealand,Oceania,2007,80.204,4115771,25185.00911,6.4,33209,2436.97079794
Nicaragua,Americas,1997,68.426,4609572,2253.023004,47.4,3142.333333,112.14974587
Nicaragua,Americas,2002,70.836,5146848,2474.548819,36.4,4037,147.24055231
Nicaragua,Americas,2007,72.899,5675356,2749.320965,29.2,4590.666667,237.93276642
Niger,Africa,1997,51.313,9666252,580.3052092,255.9,1012,18.5948366
Niger,Africa,2002,54.496,11140655,601.0745012,207,814,21.01801921
Niger,Africa,2007,56.867,12894865,619.6768924,151.3,828.6666667,35.38592602
Nigeria,Africa,1997,47.464,106207839,1624.941275,201.4,40186.66667,56.03686357
Nigeria,Africa,2002,46.608,119901274,1615.286395,175.6,98116.33333,52.78825541
Nigeria,Africa,2007,46.859,135031164,2013.977305,146.4,90610.66667,120.10230283
Norway,Europe,1997,78.32,4405672,41283.16433,5.2,34129.33333,2348.46895942
Norway,Europe,2002,79.05,4535591,44683.97525,4.5,37425.66667,3627.77603567
Norway,Europe,2007,80.196,4627926,49357.19017,3.7,45118.33333,4887.8281094
Oman,Asia,1997,72.499,2283635,19702.05581,20.8,15693.33333,482.34462135
Oman,Asia,2002,74.193,2713462,19774.83687,14.6,26194.66667,749.68500269
Oman,Asia,2007,75.64,3204897,22316.19287,12.1,45320,748.30906603
Pakistan,Asia,1997,61.818,135564834,2049.350521,120.3,94702.66667,50.43998687
Pakistan,Asia,2002,63.61,153403524,2092.712441,107.5,114073.6667,51.29170925
Pakistan,Asia,2007,65.483,169270617,2605.94758,97.4,159371.6667,64.10603248
Panama,Americas,1997,73.738,2734531,7113.692252,27.4,5958.333333,451.94742821
Panama,Americas,2002,74.712,2990875,7356.031934,24.8,5833.666667,595.66193749
Panama,Americas,2007,75.537,3242173,9809.185636,21.7,6288.333333,771.03796215
Paraguay,Americas,1997,69.4,5154123,4247.400261,36.8,4194.666667,247.50824015
Paraguay,Americas,2002,70.755,5884491,3783.674243,31.5,3897.666667,296.21099102
Paraguay,Americas,2007,71.752,6667147,4172.838464,26.6,4136,270.82027309
Peru,Americas,1997,68.386,24748122,5838.347657,49.1,27404.66667,206.42844302
Peru,Americas,2002,69.906,26769436,5909.020073,33.3,27184.66667,251.72310597
Peru,Americas,2007,71.421,28674757,7408.905561,24.5,43508.66667,396.20586641
Philippines,Asia,1997,68.564,75012988,2536.534925,42.7,71151.66667,82.11682528
Philippines,Asia,2002,70.303,82995088,2650.921068,38.1,66711.33333,70.92003161
Philippines,Asia,2007,71.688,91077287,3190.481016,34.2,63547,119.35895694
Poland,Europe,1997,72.75,38654957,10159.58368,12,351017.3333,497.19891635
Poland,Europe,2002,74.67,38625976,12002.23908,8.4,296904.6667,732.68808301
Poland,Europe,2007,75.563,38518241,15389.92468,7,315172,1077.82207274
Portugal,Europe,1997,75.97,10156415,17641.03156,8.6,53229,1160.43410362
Portugal,Europe,2002,77.29,10433867,19970.90787,6.1,66814,1779.58783737
Portugal,Europe,2007,78.098,10642836,20509.64777,4.2,60859.33333,2419.20821773
Puerto Rico,Americas,1997,74.917,3759430,16999.4333,12.86,NA,NA
Puerto Rico,Americas,2002,77.778,3859606,18855.60618,10.24,NA,NA
Puerto Rico,Americas,2007,78.746,3942491,19328.70901,9,NA,NA
Reunion,Africa,1997,74.772,684810,6071.941411,12.67,2346.666667,NA
Reunion,Africa,2002,75.744,743981,6316.1652,9.23,2695,NA
Reunion,Africa,2007,76.442,798094,7670.122558,6.72,2889.333333,NA
Romania,Europe,1997,69.72,22562458,7346.547557,30.4,114436.6667,265.09164581
Romania,Europe,2002,71.322,22404337,7885.360081,24.9,92165.33333,398.46507271
Romania,Europe,2007,72.476,22276056,10808.47561,17.6,99693,670.0362846
Rwanda,Africa,1997,36.087,7212583,589.9445051,215.9,652.6666667,26.0031851
Rwanda,Africa,2002,43.413,7852401,785.6537648,151.8,689.3333333,29.09480464
Rwanda,Africa,2007,46.242,8860588,863.0884639,87.5,715,92.36295353
Sao Tome and Principe,Africa,1997,63.306,145608,1339.076036,100.5,77,270.3246054
Sao Tome and Principe,Africa,2002,64.337,170372,1353.09239,81.5,106.3333333,108.49580827
Sao Tome and Principe,Africa,2007,65.528,199579,1598.435089,63.6,128.3333333,135.08651287
Saudi Arabia,Asia,1997,70.533,21229759,20586.69019,26.3,216219.6667,515.75009327
Saudi Arabia,Asia,2002,71.626,24501530,19014.54118,21.3,326377.3333,756.37655562
Saudi Arabia,Asia,2007,72.777,27601038,21654.83194,18.7,393499.3333,823.90379043
Senegal,Africa,1997,60.187,9535314,1392.368347,143.4,3263.333333,48.71434331
Senegal,Africa,2002,61.6,10870037,1519.635262,120.7,4546.666667,71.03177922
Senegal,Africa,2007,63.062,12267493,1712.472136,82,5335,103.79659293
Serbia,Europe,1997,72.232,10336594,7914.320304,15.4,NA,297.8323832
Serbia,Europe,2002,73.213,10111559,7236.075251,11.6,NA,590.43640645
Serbia,Europe,2007,74.002,10150265,9786.534714,8.1,52055.66667,1047.55154331
Sierra Leone,Africa,1997,39.897,4578212,574.6481576,250.5,330,54.19988564
Sierra Leone,Africa,2002,41.012,5359092,699.489713,223.9,4158,80.4338636
Sierra Leone,Africa,2007,42.568,6144562,862.5407561,188,10134.66667,94.82995346
Singapore,Asia,1997,77.158,3802309,33519.4766,4.8,69234,847.4413969
Singapore,Asia,2002,78.77,4197776,36023.1054,3.4,42056.66667,1018.66975568
